event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
2019-11-01 14:51:33 UTC,view,28719157,2.11691E+18,apparel.shoes,salamander,127.42,523747921,85d8e911-62f1-4f7e-84b3-4f8137c1bb8f
2019-11-01 08:42:42 UTC,view,1005160,2.05301E+18,electronics.smartphone,xiaomi,212.08,553318811,ed06346f-11e5-4199-8a2a-a690c801c58e
2019-11-01 11:14:39 UTC,view,1004932,2.05301E+18,electronics.smartphone,vivo,437.33,549006452,e1a04145-ccfc-4e49-8fea-9ce8f65d9cdd
2019-11-01 04:28:02 UTC,view,1801882,2.05301E+18,electronics.video.tv,samsung,437.25,540955964,ae2c1c22-ced5-4fc8-94a3-2fed342e9da4
2019-11-01 09:25:18 UTC,view,6800425,2.05301E+18,computers.components.hdd,kingston,43.56,514428618,6571815a-001f-46b6-8c95-e820f856ec87
2019-11-01 05:31:49 UTC,view,28714144,2.05301E+18,apparel.shoes.keds,greyder,66.93,513317944,51eecc6d-8776-4f2f-b957-2797430c6684
2019-11-01 08:25:58 UTC,view,2800052,2.05301E+18,appliances.kitchen.refrigerators,,189.86,513224010,27fad6f5-e1a1-451a-a7f2-7253eb44ec4c
2019-11-01 04:50:41 UTC,view,3701504,2.05301E+18,appliances.environment.vacuum,dauscher,63.06,516998193,f0e8fe78-d54d-4b5d-9978-4a6294f46ea9
2019-11-01 06:17:12 UTC,view,16000960,2.05301E+18,,dauscher,21.08,513258796,57d78ab9-e8bf-4563-b4c5-97ceffab3092
2019-11-01 13:45:01 UTC,view,3300010,2.05301E+18,,redmond,102.91,516877632,7d7684fd-af4f-4545-bbf8-ad42a31263db
2019-11-01 10:25:56 UTC,view,1004836,2.05301E+18,electronics.smartphone,samsung,229.9,519656046,4f68c673-fdde-4921-b8f9-afdbb704fa90
2019-11-01 14:00:13 UTC,view,17601202,2.05301E+18,,embryolisse,25.71,541312140,fcc30a8e-bb14-4ace-82dd-da8f27c7f711
2019-11-01 05:42:26 UTC,view,1004741,2.05301E+18,electronics.smartphone,xiaomi,189.97,566330883,4b0c4e76-a211-4b39-a8b6-d40548a41307
2019-11-01 06:11:01 UTC,view,17200570,2.05301E+18,furniture.living_room.sofa,,437.33,514910140,e910633e-9b6b-4481-8686-567da9ca44ce
2019-11-01 14:54:59 UTC,view,1004324,2.05301E+18,electronics.smartphone,honor,247.11,531911365,acf2826a-1602-491d-8f16-4ee16eccc63b
2019-11-01 06:16:27 UTC,view,9300078,2.05301E+18,,lg,257.38,543454973,ad8359ec-14af-4405-9619-c0b45094a939
2019-11-01 04:50:45 UTC,view,28100913,2.05301E+18,,,281.86,512931934,a2be63d8-b702-480a-9e49-6ff27b211e68
2019-11-01 15:48:31 UTC,view,6000205,2.05301E+18,auto.accessories.alarm,scher-khan,72.07,514238961,7a91b302-8ebf-406c-93b4-2eb20561d411
